Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,Québec,256,Transport par pipeline,FALSE,25.1364015,0.020026247,0.500656175,0.0013434,0.4003332,0,0,0,0,26.03739088,kt
1990,Ontario,110,Production de chaleur et d'électricité du secteur public ,FALSE,25721.5087,0.267112541,6.677813533,0.366677408,109.2698676,0,0,0,0,25837.45638,kt
1990,Ontario,120,Industries de raffinage du pétrole ,FALSE,6205.447251,0.160649335,4.016233384,0.062005159,18.47753731,0,0,0,0,6227.941021,kt
1990,Ontario,130,Extraction de pétrole et de gaz,FALSE,98.0942,0.001368,0.0342,0.006156,1.834488,0,0,0,0,99.962888,kt
1990,Ontario,131,Exploitation minière,FALSE,488.8404881,0.010170082,0.254252038,0.013874345,4.13455484,0,0,0,0,493.229295,kt
1990,Ontario,141,Sidérurgie,FALSE,3972.382566,0.132971457,3.324286434,0.11106496,33.09735822,0,0,0,0,4008.804211,kt
1990,Ontario,142,Métaux non ferreux,FALSE,633.0501245,0.013463101,0.336577532,0.00999904,2.979713875,0,0,0,0,636.3664159,kt
1990,Ontario,143,Produits chimiques,FALSE,2239.115909,0.047807538,1.195188439,0.039733791,11.84066982,0,0,0,0,2252.151767,kt
1990,Ontario,144,Pâtes et papiers,FALSE,3016.941116,0.184537223,4.613430575,0.157800686,47.02460431,0,0,0,0,3068.579151,kt
1990,Ontario,145,Ciment,FALSE,2040.62148,0.033582627,0.839565665,0.01659884,4.946454417,0,0,0,0,2046.4075,kt
1990,Ontario,146,Autres industries manufacturières,FALSE,9906.897143,0.248977395,6.224434882,0.180248199,53.71396329,0,0,0,0,9966.835541,kt
1990,Ontario,150,Construction,FALSE,565.9718515,0.009646101,0.241152522,0.017503943,5.216174934,0,0,0,0,571.4291789,kt
1990,Ontario,160,Commercial et institutionnel,FALSE,9117.245186,0.564173582,14.10433956,0.185160179,55.17773337,0,0,0,0,9186.527259,kt
1990,Ontario,170,Résidentiel,FALSE,16618.26024,52.88382852,1322.095713,0.817173561,243.5177212,0,0,0,0,18183.87368,kt
